Top 100,Org Rk,Name,Org,Pos,Current Level,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,PlayerId
0,16,"Leo Rivas","LAA","2B","MLB",,"40",2020,"Med","21.2","5' 10""","150","S","R","2014 J2 (LAA)","Venezuela","Tbf-2kCq_yI","21009"
0,16,"Jonathan Guzman","PHI","SS","",1,"40",2022,"High","19.2","6' 0""","156","R","R","2015 J2 (PHI)","Dominican Republic","","sa917127"
0,16,"Luis Liberato","SEA","CF","AAA",,"40",2020,"High","23.0","6' 1""","175","L","L","2013 J2 (SEA)","Dominican Republic","","17307"
0,16,"Eric Pardinho","TOR","RHP","AAA",,"40",2021,"High","18.0","5' 10""","170","R","R","2017 J2 (TOR)","Brazil","","sa968102"
0,16,"Brendon Davis","TEX","3B","",,"40",2021,"High","21.4","6' 5""","185","R","R","2015 Draft Rnd 5 (LAD)","Lakewood HS (CA)","DQ8oLyvXUbE","18587"
0,16,"Conner Capel","STL","CF","AAA",,"40",2021,"High","21.6","6' 1""","185","L","L","2016 Draft Rnd 5 (CLE)","Seven Lakes HS (TX)","mWkRt0PHN0w","19983"
0,17,"Derek Hill","DET","CF","MLB",-1,"45",2021,"High","23.0","6' 2""","190","R","R","2014 Draft Rnd 1 (DET)","Elk Grove HS (CA)","ZObNf_dt9Wg","16947"
0,17,"Lucius Fox","TBR","SS","",,"45",2021,"High","21.5","6' 1""","175","S","R","2015 J2 (SFG)","Bahamas","sSetHzJyedI","18899"
0,17,"Gabriel Arias","SDP","SS","MLB",-1,"45",2021,"High","18.8","6' 1""","185","R","R","2016 J2 (SDP)","Venezuela","QiH28DhFuPI","22563"
0,17,"Ryan Cordell","CHW","RF","",,"40",2018,"Med","26.8","6' 4""","194","R","R","2013 Draft Rnd 11 (TEX)","Liberty","","15181"
0,17,"Cristian Santana","LAD","3B","A",,"40",2021,"High","21.9","6' 2""","175","R","R","2016 J2 (LAD)","Dominican Republic","KKe4Gt1QGRE","sa392969"
0,17,"Nelson Velázquez","CHC","LF","AAA",,"40",2022,"High","20.0","6' 0""","190","R","R","2017 Draft Rnd 5 (CHC)","P.J. Education HS (PR)","SHA70C1S_Ag","23359"
0,17,"Riley Ferrell","HOU","RHP","",,"40",2018,"Med","25.2","6' 2""","200","R","R","2015 Draft Rnd 3 (HOU)","TCU","","sa874967"
0,17,"Vince Fernandez","COL","LF","",,"40",2020,"Med","23.4","6' 3""","210","L","R","2016 Draft Rnd 10 (COL)","UC Riverside","","sa873990"
0,17,"Jake Gatewood","MIL","1B","",,"40",2020,"High","23.3","6' 5""","215","R","R","2014 Draft Rnd 1 (MIL)","Clovis HS (CA)","BaX6P5itaxI","sa828685"
0,17,"Alexander Campos","OAK","SS","",,"40",2023,"Med","18.9","6' 0""","178","R","R","2016 J2 (SEA)","Venezuela","","sa3002852"
0,17,"Ryan Jeffers","MIN","C","MLB",,"40",2021,"Med","21.8","6' 4""","225","R","R","2018 Draft Rnd 2 (MIN)","UNC Wilmington","","24618"
0,17,"Antonio Cabello","NYY","CF","",1,"40",2023,"High","18.2","5' 10""","160","R","R","2017 J2 (NYY)","Venezuela","","sa3005600"
0,17,"Braxton Ashcraft","PIT","RHP","MLB",,"40",2022,"High","19.2","6' 5""","195","L","R","2018 Draft Rnd 2 (PIT)","Robinson HS (TX)","7afqKX8xrHQ","23793"
0,17,"Tristan Beck","ATL","RHP","MLB",,"40",2021,"High","22.5","6' 4""","190","R","R","2018 Draft Rnd 4 (ATL)","Stanford","XrgMm2JffMA","21584"
0,17,"Lyon Richardson","CIN","RHP","AAA",,"40",2022,"High","19.0","6' 2""","185","S","R","2018 Draft Rnd 3 (CIN)","Jensen Beach HS (FL)","A6viDU8LwwU","24581"
0,17,"Alex Scherff","BOS","RHP","AAA",,"40",2022,"High","20.9","6' 3""","205","S","R","2017 Draft Rnd 5 (BOS)","Prestonwood Christian HS (TX)","gQo53t6hJMk","sa3005397"
0,17,"Richie Palacios","CLE","2B","MLB",,"40",2021,"Med","21.6","5' 9""","160","L","R","2018 Draft Rnd 3 (CLE)","Towson","","24589"
0,17,"Brian Miller","MIA","CF","",,"40",2020,"Med","23.4","6' 0""","177","L","R","2017 Draft Rnd 1 (MIA)","North Carolina","-r9X5zhHbNQ","20047"
0,17,"Dean Kremer","BAL","RHP","MLB",1,"40",2019,"Med","23.0","6' 3""","180","R","R","2016 Draft Rnd 14 (LAD)","UNLV","","19350"
0,17,"Logan Webb","SFG","RHP","MLB",,"40",2020,"High","22.1","6' 2""","220","R","R","2014 Draft Rnd 4 (SFG)","Rocklin HS (CA)","","17995"
0,17,"Josh Staumont","KCR","RHP","MLB",,"40",2018,"Med","25.0","6' 3""","200","R","R","2015 Draft Rnd 2 (KCR)","Azusa Pacific","","18335"
0,17,"Osvaldo Abreu","WSN","3B","",,"40",2019,"Low","24.6","6' 0""","170","R","R","2011 J2 (WAS)","Dominican Republic","","sa657398"
0,17,"Yoan López","ARI","RHP","AAA",,"40",2018,"Med","26.0","6' 3""","185","R","R","2014 J2 (ARI)","Cuba","","17181"
0,17,"Christian James","NYM","RHP","",1,"40",2021,"Med","20.6","6' 3""","210","R","R","2016 Draft Rnd 14 (NYM)","East Lake HS (FL)","","sa918327"
0,17,"Aaron Hernandez","LAA","RHP",,,"40",2021,"High","22.1","6' 2""","175","R","R","2018 Draft Rnd 3 (LAA)","Texas A&M Corpus Christi","",
0,17,"Starlyn Castillo","PHI","RHP",,,"40",2024,"High","16.4","6' 0""","210","R","R","2018 J2 (PHI)","Dominican Republic","gJs16OYmZlc",
0,17,"Daniel Vogelbach","SEA","1B","",,"40",2018,"Low","26.0","6' 0""","250","L","R","2011 Draft Rnd 2 (CHC)","Bishop Verot HS (FL)","WVUvxa6mRUs","14130"
0,17,"Sean Reid-Foley","TOR","RHP","AAA",,"40",2019,"High","23.3","6' 3""","220","R","R","2014 Draft Rnd 2 (TOR)","Sandalwood HS (FL)","iVpbxreVa9Q","17034"
0,17,"Jonathan Hernández","TEX","RHP","MLB",,"40",2020,"High","22.5","6' 1""","175","R","R","2012 J2 (TEX)","Dominican Republic","vHUVcLLmftc","17464"
0,17,"Jhon Torres","STL","RF","CPX",1,"40",2023,"High","18.8","6' 4""","200","R","R","2016 J2 (CLE)","Colombia","3I-QOd9oNcA","sa3003233"
0,18,"Shane McClanahan","TBR","LHP","MLB",,"45",2020,"High","21.7","6' 1""","173","L","L","2018 Draft Rnd 1 (TBR)","USF","ntk-CU1Bo6A","21483"
0,18,"Esteury Ruiz","SDP","2B","MLB",,"45",2022,"High","19.9","6' 0""","150","R","R","2015 J2 (KCR)","Dominican Republic","","21780"
0,18,"Parker Meadows","DET","CF","MLB",,"40+",2022,"High","19.2","6' 4""","195","L","R","2018 Draft Rnd 2 (DET)","Grayson HS (GA)","","23800"
0,18,"Gavin Sheets","CHW","1B","MLB",,"40",2020,"High","22.7","6' 4""","230","L","L","2017 Draft Rnd 2 (CHW)","Wake Forest","","19901"
0,18,"Matt Beaty","LAD","3B","",,"40",2019,"Low","25.7","6' 0""","210","L","R","2015 Draft Rnd 12 (LAD)","Belmont","","17710"
0,18,"Brailyn Marquez","CHC","LHP","",,"40",2021,"High","19.9","6' 4""","185","L","L","2015 J2 (CHC)","Dominican Republic","XeLTg0oFKog","21896"
0,18,"Brandon Bailey","HOU","RHP","AA",,"40",2019,"Med","24.2","5' 10""","175","R","R","2016 Draft Rnd 6 (HOU)","Gonzaga","","19582"
0,18,"Jordan Patterson","COL","LF","",,"40",2019,"Med","26.9","6' 4""","215","L","L","2013 Draft Rnd 4 (COL)","South Alabama","","15119"
0,18,"Larry Ernesto","MIL","RF","",1,"40",2023,"High","18.3","6' 2""","175","S","R","2017 J2 (MIL)","Dominican Republic","","sa3005485"
0,18,"Kevin Merrell","OAK","2B","",,"40",2021,"High","23.0","6' 1""","180","L","R","2017 Draft Rnd 1 (OAK)","South Florida","p8Lm9rfHBqg","sa915707"
0,18,"Cole Sands","MIN","RHP",,,"40",2021,"High","21.5","6' 3""","220","R","R","2018 Draft Rnd 5 (MIN)","Florida State","",
0,18,"Trevor Stephan","NYY","RHP","AAA",1,"40",2019,"Med","23.1","6' 4""","210","R","R","2017 Draft Rnd 3 (NYY)","Arkansas","hdrgIwlwXuE","19932"
0,18,"Conner Uselton","PIT","RF","",,"40",2022,"High","20.6","6' 3""","185","R","R","2017 Draft Rnd 2 (PIT)","Southmoore HS (OK)","1Okr7H06QIQ","sa3004502"
0,18,"Josh Graham","ATL","RHP","",,"40",2019,"Low","25.2","6' 1""","215","R","R","2015 Draft Rnd 4 (ATL)","Oregon","","sa658525"
0,18,"Jimmy Herget","CIN","RHP","MLB",,"40",2018,"Low","25.3","6' 3""","180","R","R","2015 Draft Rnd 6 (CIN)","South Florida","","17556"
0,18,"Joan Martinez","BOS","RHP","AA",,"40",2021,"High","22.3","6' 3""","195","R","R","2015 J2 (BOS)","Dominican Republic","","sa917483"
0,18,"Tyler Freeman","CLE","SS","MLB",1,"40",2022,"Med","19.6","6' 0""","170","R","R","2017 Draft Rnd 2 (CLE)","Etiwanda HS (CA)","","22532"
0,18,"Will Banfield","MIA","C","AAA",,"40",2023,"High","19.1","6' 1""","200","R","R","2018 Draft Rnd 2 (MIA)","Brookwood HS","KI7Z1Rzt2UM","23790"
0,18,"Cadyn Grenier","BAL","SS","AAA",,"40",2020,"Med","22.2","5' 10""","185","R","R","2018 Draft Rnd 1 (BAL)","Oregon State","8Q0_6YnDInk","sa3008140"
0,18,"Camilo Doval","SFG","RHP","MLB",,"40",2021,"High","21.5","6' 2""","185","R","R","2015 J2 (SFG)","Dominican Republic","N5S-D2ZA5lQ","21992"
0,18,"Foster Griffin","KCR","LHP","MLB",-1,"40",2019,"Low","23.4","6' 3""","200","R","L","2014 Draft Rnd 1 (KCR)","First Academy HS (FL)","","16432"
0,18,"Joey Krehbiel","ARI","RHP","",,"40",2018,"Low","26.0","6' 2""","185","R","R","2011 Draft Rnd 12 (LAA)","Seminole HS (FL)","","13707"
0,18,"Will Toffey","NYM","3B","",1,"40",2020,"Low","24.0","6' 2""","205","L","R","2017 Draft Rnd 4 (OAK)","Vanderbilt","","sa829401"
0,18,"Ty Buttrey","LAA","RHP","",,"40",2018,"Med","25.8","6' 6""","230","R","R","2012 Draft Rnd 4 (BOS)","Providence HS (NC)","","14719"
0,18,"Símon Muzziotti","PHI","CF","",1,"40",2022,"Med","20.0","6' 1""","175","L","L","2015* J2 (BOS*)","Venezuela","","19553"
0,18,"Thomas Pannone","TOR","LHP","AAA",,"40",2019,"Low","24.7","6' 0""","195","L","L","2013 Draft Rnd 9 (CLE)","Southern Nevada JC","","17281"
0,18,"Chris Seise","TEX","SS","",,"40",2022,"High","20.0","6' 2""","175","R","R","2017 Draft Rnd 1 (TEX)","West Orange HS (FL)","bB9NGkEjufw","sa3004142"
0,18,"Junior Fernández","STL","RHP","MLB",,"40",2019,"High","21.8","6' 1""","180","R","R","2014 J2 (STL)","Dominican Republlic","","18496"
0,18,"Reid Schaller","WSN","RHP","AA",,"35+",2020,"High","21.7","6' 3""","210","R","R","2018 Draft Rnd 3 (WAS)","Vanderbilt","","sa3008023"
0,18,"Josh Stowers","SEA","LF","",,"35+",2021,"Med","21.9","6' 0""","205","R","R","2018 Draft Rnd 2 (SEA)","Louisville","tMqgzAIr2Ds","sa3007010"
0,19,"Tobias Myers","TBR","RHP","MLB",-1,"45",2022,"High","20.4","6' 0""","193","R","R","2016 Draft Rnd 6 (BAL)","Winter Haven HS (FL)","","22191"
0,19,"Jeisson Rosario","SDP","CF","AA",1,"45",2022,"Med","19.2","5' 11""","170","L","L","2016 J2 (SDP)","Dominican Republic","tz3B5XbWgMc","sa3004146"
0,19,"Elvin Rodríguez","DET","RHP","",,"40+",2021,"Med","20.8","6' 3""","160","R","R","2014 J2 (LAA)","Dominican Republic","","20962"
0,19,"Seby Zavala","CHW","C","AAA",,"40",2019,"Med","25.3","6' 0""","215","R","R","2015 Draft Rnd 12 (CHW)","San Diego State","","18887"
0,19,"Tim Locastro","LAD","LF","",1,"40",2018,"Low","26.5","6' 1""","200","R","R","2013 Draft Rnd 13 (LAD)","Ithaca","","15124"
0,19,"Cory Abbott","CHC","RHP","",,"40",2020,"Low","23.3","6' 2""","210","R","R","2017 Draft Rnd 2 (CHC)","Loyola Marymount","","20277"
0,19,"Joe Perez","HOU","3B","",,"40",2022,"High","19.4","6' 2""","215","R","R","2017 Draft Rnd 2 (HOU)","Archbishop McCarthy HS (FL)","","22254"
0,19,"Terrin Vavra","COL","3B","",,"40",2021,"Med","21.6","6' 0""","190","L","R","2018 Draft Rnd 3 (COL)","Minnesota","","24400"
0,19,"Payton Henry","MIL","C","AAA",1,"40",2022,"High","21.5","6' 2""","215","R","R","2016 Draft Rnd 6 (MIL)","Pleasant Grove HS (UT)","","22164"
0,19,"Lawrence Butler","OAK","RF","MLB",,"40",2023,"High","18.5","6' 4""","200","L","R","2018 Draft Rnd 6 (OAK)","Westlake HS (WV)","","22542"
0,19,"DaShawn Keirsey Jr.","MIN","CF","MLB",,"40",2022,"High","21.6","6' 2""","195","L","L","2018 Draft Rnd 4 (MIN)","Utah","","24496"
0,19,"Matt Sauer","NYY","RHP","",-1,"40",2021,"High","19.9","6' 4""","195","R","R","2017 Draft Rnd 2 (NYY)","Righetti HS (CA)","","22284"
0,19,"Will Craig","PIT","1B","",,"40",2019,"Med","24.1","6' 3""","235","R","R","2016 Draft Rnd 1 (PIT)","Wake Forest","","19267"
0,19,"Jacob Lindgren","ATL","LHP","",,"40",2019,"High","25.8","5' 11""","210","L","L","2014 Draft Rnd 2 (NYY)","Mississippi State","0pxjqMUQT2Y","16215"
0,19,"Jose Lopez","CIN","RHP","",,"40",2018,"Low","25.3","6' 1""","185","R","R","2014 Draft Rnd 6 (CIN)","Seton Hall","","sa709715"
0,19,"Roniel Raudes","BOS","RHP","",,"40",2020,"High","21.0","6' 1""","160","R","R","2014 J2 (BOS)","Nicaragua","","sa872825"
0,19,"Aaron Bracho","CLE","SS",,,"40",2023,"High","17.7","5' 11""","175","S","R","2017 J2 (CLE)","Venezuela","",
0,19,"Chris Torres","MIA","SS","",,"40",2021,"High","20.9","5' 11""","170","S","R","2014 J2 (SEA)","Dominican Republic","FmEjQsxE-rc","sa872538"
0,19,"DJ Stewart","BAL","LF","",,"40",2019,"Med","25.1","6' 0""","230","L","L","2015 Draft Rnd 1 (BAL)","Florida State","-Ssq2Nfrjfk","17766"
0,19,"Miguel Gómez","SFG","3B","",,"40",2018,"Low","26.0","5' 9""","206","R","R","2011 J2 (SFG)","Dominican Republic","","17075"
0,19,"Scott Blewett","KCR","RHP","AAA",,"40",2020,"Low","22.7","6' 6""","210","R","R","2014 Draft Rnd 2 (KCR)","Baker HS (NY)","","16427"
0,19,"Jared Miller","ARI","LHP","",,"40",2018,"Low","25.4","6' 7""","240","L","L","2014 Draft Rnd 11 (ARI)","Vanderbilt","","sa827467"
0,19,"Bobby Wahl","NYM","RHP","",,"40",2019,"Med","26.8","6' 2""","210","R","R","2013 Draft Rnd 5 (OAK)","Ole Miss","","14832"
0,19,"Patrick Sandoval","LAA","LHP","MLB",,"40",2021,"Med","22.2","6' 3""","190","L","L","2015 Draft Rnd 11 (HOU)","Mission Viejo HS (CA)","","19447"
0,19,"Cole Irvin","PHI","LHP","MLB",1,"40",2019,"Low","24.9","6' 4""","180","L","L","2016 Draft Rnd 5 (PHI)","Oregon","Fgw5VhHvMyY","19244"
0,19,"Reese McGuire","TOR","C","MLB",1,"40",2018,"Low","23.8","6' 1""","195","L","R","2013 Draft Rnd 1 (PIT)","Kentwood HS (WA)","R-7ft9EA2ac","15674"
0,19,"Josh Morgan","TEX","2B","",,"40",2020,"Med","23.1","5' 11""","200","R","R","2014 Draft Rnd 3 (TEX)","Orange Lutheran HS (CA)","EJkG8sOnJtQ","sa828797"
0,19,"Griffin Roberts","STL","RHP","",,"40",2019,"Med","22.6","6' 3""","215","R","R","2018 Draft Rnd 1 (STL)","Wake Forest","","sa3008483"
0,19,"Ronald Pena","WSN","RHP","AAA",,"35+",2019,"Med","27.3","6' 4""","195","R","R","2012 Draft Rnd 16 (WAS)","Palm Beach JC (FL)","","sa658287"
0,19,"Ariel Sandoval","SEA","RF","A+",,"35+",2020,"Med","23.2","6' 2""","180","R","R","2015 J2 (LAD)","Dominican Republic","","sa736970"
0,20,"Garrett Whitley","TBR","CF","",,"45",2021,"High","21.8","6' 0""","200","R","R","2015 Draft Rnd 1 (TBR)","Niskayuna HS (NY)","jqJa4iF01gE","sa874244"
0,20,"Reggie Lawson","SDP","RHP","",1,"45",2021,"High","21.4","6' 4""","205","R","R","2016 Draft Rnd 2 (SDP)","Victor Valley HS (CA)","GHRuOX42jYQ","sa917951"
0,20,"Gregory Soto","DET","LHP","MLB",-1,"40+",2021,"High","23.9","6' 1""","240","L","L","2012 J2 (DET)","Dominican Republic","","19677"
0,20,"Tyler Johnson","CHW","RHP","",1,"40",2020,"Med","23.4","6' 3""","205","R","R","2017 Draft Rnd 5 (CHW)","South Carolina","","sa915688"
0,20,"Connor Joe","LAD","3B","",1,"40",2019,"Med","26.4","6' 0""","205","R","R","2014 Draft Rnd 1 (PIT)","San Diego","","16572"
0,20,"Wladimir Galindo","CHC","3B","",,"40",2020,"Med","22.2","6' 3""","210","R","R","2013 J2 (CHC)","Venezuela","","sa826652"
0,20,"Dean Deetz","HOU","RHP","",,"40",2018,"Med","25.1","6' 1""","195","R","R","2014 Draft Rnd 11 (HOU)","NE Oklahoma A&M JC","","16687"
0,20,"Dom Nuñez","COL","C","MLB",,"40",2019,"Med","24.0","6' 3""","170","L","R","2013 Draft Rnd 6 (COL)","Elk Grove HS (CA)","","15055"
0,20,"Carlos Rodriguez","MIL","CF","AAA",,"40",2022,"High","18.1","5' 10""","150","L","L","2017 J2 (MIL)","Venezuela","","sa3005478"
0,20,"Dalton Sawyer","OAK","LHP","",,"40",2019,"Med","25.1","6' 5""","210","L","L","2016 Draft Rnd 9 (OAK)","Minnesota","BjwR7ALUOBo","sa875849"
0,20,"Luis Rijo","MIN","RHP","A+",,"40",2022,"High","20.3","6' 1""","200","R","R","2015 J2 (NYY)","Venezuela","","sa916950"
0,20,"Ryder Green","NYY","RF","",,"40",2023,"High","18.2","6' 2""","195","R","R","2018 Draft Rnd 3 (NYY)","Karns HS (TN)","0zwCZ6knA-s","sa3007875"
0,20,"Nick Burdi","PIT","RHP","AAA",,"40",2018,"High","26.0","6' 5""","220","R","R","2014 Draft Rnd 2 (MIN)","Louisville","a4s7JnQDc9k","16074"
0,20,"Patrick Weigel","ATL","RHP","AAA",,"40",2018,"High","24.5","6' 6""","230","R","R","2015 Draft Rnd 7 (ATL)","Houston","","17792"
0,20,"Josiah Gray","CIN","RHP","MLB",1,"40",2021,"High","21.0","6' 1""","210","R","R","2018 Draft Rnd 2 (CIN)","LeMoyne","","24580"
0,20,"Bobby Poyner","BOS","LHP","",,"40",2018,"Med","26.1","6' 0""","205","L","L","2015 Draft Rnd 14 (BOS)","Florida","","17987"
0,20,"Eric Haase","CLE","C","MLB",-1,"40",2019,"Med","26.0","5' 10""","180","R","R","2011 Draft Rnd 7 (CLE)","Divine Child HS (MI)","","14111"
0,20,"Jordan Yamamoto","MIA","RHP","",,"40",2020,"Med","22.6","6' 0""","185","R","R","2014 Draft Rnd 12 (MIL)","St. Louis HS (HI)","","17585"
0,20,"Cody Carroll","BAL","RHP","",,"40",2019,"Med","26.2","6' 5""","210","R","R","2015 Draft Rnd 22 (NYY)","Southern Mississippi","","17664"
0,20,"Sandro Fabian","SFG","RF","",-1,"40",2021,"High","20.8","6' 1""","180","R","R","2014 J2 (SFG)","Dominican Republic","P5N_yzeiS8c","19910"
0,20,"Meibrys Viloria","KCR","C","AAA",,"40",2021,"Med","21.9","5' 11""","200","L","R","2013 J2 (KCR)","Colombia","","17109"
0,20,"James Sherfy","ARI","RHP","",,"40",2018,"Low","27.0","6' 0""","175","R","R","2013 Draft Rnd 10 (ARI)","Oregon","","15118"
0,20,"Gerson Bautista","NYM","RHP","AAA",,"40",2019,"Low","23.6","6' 2""","170","R","R","2012 J2 (BOS)","Dominican Republic","I1w4-Q8fjiY","19256"
0,20,"Luis Pena","LAA","RHP","",,"40",2019,"High","23.4","5' 11""","190","R","R","2013 J2 (LAA)","Dominican Republic","","sa837845"
0,20,"Kevin Gowdy","PHI","RHP","AAA",,"40",2020,"High","21.1","6' 4""","170","R","R","2016 Draft Rnd 2 (PHI)","Santa Barbara HS (CA)","Vr9lun60EAw","sa917928"
0,20,"Orelvis Martinez","TOR","SS",,,"40",2023,"High","16.6","6' 1""","190","R","R","2018 J2 (TOR)","Dominican Republic","yHLBXVb004Y",
0,20,"Mike Matuella","TEX","RHP","A+",-1,"40",2019,"Med","24.6","6' 6""","220","R","R","2015 Draft Rnd 3 (TEX)","Duke","KSBpY0Vwoy8","sa827490"
0,20,"Seth Elledge","STL","RHP","AA",1,"40",2019,"Low","22.6","6' 3""","230","R","R","2017 Draft Rnd 4 (SEA)","Dallas Baptist","","19766"
0,20,"Ivan Fortunato","SEA","RHP","",,"35+",2022,"Med","20.1","6' 1""","170","R","R","2015 J2 (SEA)","Dominican Republic","","sa917594"
0,21,"José De León","TBR","RHP","",,"45",2019,"High","26.4","6' 2""","220","R","R","2013 Draft Rnd 24 (LA)","Southern","a7XOAwjfRJQ","15463"
0,21,"Edward Olivares","SDP","CF","MLB",,"45",2021,"High","22.8","6' 2""","186","R","R","2014 J2 (TOR)","Venezuela","","19698"
0,21,"Anthony Castro","DET","RHP","",,"40+",2020,"Med","23.7","6' 2""","180","R","R","2011 J2 (DET)","Venezuela","","19789"
0,21,"A.J. Puckett","CHW","RHP","",,"40",2020,"Med","23.6","6' 4""","200","R","R","2016 Draft Rnd 2 (KCR)","Pepperdine","","sa738686"
0,21,"Drew Jackson","LAD","SS","",,"40",2019,"Low","25.4","6' 2""","200","R","R","2015 Draft Rnd 5 (SEA)","Stanford","","17807"
0,21,"Michael Rucker","CHC","RHP","AAA",1,"40",2019,"Med","24.7","6' 1""","185","R","R","2016 Draft Rnd 11 (CHC)","BYU","","19454"
0,21,"Framber Valdez","HOU","LHP","",,"40",2018,"Low","25.1","5' 11""","180","L","L","2014 J2 (HOU)","Dominican Republic","","17295"
0,21,"Daniel Montano","COL","CF","",,"40",2022,"Med","19.8","6' 1""","175","L","R","2015 J2 (COL)","Venezuela","aUjJOahi6WI","sa917068"
0,21,"Eduardo Garcia","MIL","SS",,,"40",2023,"High","16.0","6' 2""","160","R","R","2018 J2 (MIL)","Venezuela","Oo8SzAr5cp4",
0,21,"Luis Miguel Romero","OAK","RHP","",,"40",2019,"Low","24.7","6' 2""","180","R","R","2016 J2 (OAK)","Cuba","hUWwQN8G2Js","sa3003109"
0,21,"Gabriel Maciel","MIN","CF","",,"40",2022,"Med","20.0","5' 10""","170","S","R","2015 J2 (ARI)","Brazil","","sa919532"
0,21,"Domingo Acevedo","NYY","RHP","AAA",-1,"40",2018,"High","24.8","6' 7""","242","R","R","2012 J2 (NYY)","Dominican Republic","3yyTjdYwHiE","17092"
0,21,"Braeden Ogle","PIT","LHP","",,"40",2022,"High","21.4","6' 2""","170","L","L","2016 Draft Rnd 4 (PIT)","Jensen Beach HS (FL)","","sa917989"
0,21,"Freddy Tarnok","ATL","RHP","",1,"40",2022,"High","20.1","6' 3""","185","R","R","2017 Draft Rnd 3 (ATL)","Riverview HS (FL)","","23324"
0,21,"Jacob Heatherly","CIN","LHP","AA",,"40",2021,"Med","20.6","6' 2""","208","L","L","2017 Draft Rnd 3 (CIN)","Cullman HS (AL)","qx-Qznvt_5k","sa3004736"
0,21,"Aaron Civale","CLE","RHP","",,"40",2020,"Low","23.6","6' 2""","215","R","R","2016 Draft Rnd 3 (CLE)","Northeastern","","19479"
0,21,"Colton Hock","MIA","RHP","",,"40",2020,"Med","22.8","6' 4""","220","R","R","2017 Draft Rnd 4 (MIA)","Stanford","KGJYwGxFMH4","sa915685"
0,21,"Keegan Akin","BAL","LHP","MLB",1,"40",2020,"Med","23.8","6' 0""","225","L","L","2016 Draft Rnd 2 (BAL)","Western Michigan","RKnbSobB0dk","19362"
0,21,"Diego Rincones","SFG","RF","",,"40",2020,"Med","19.5","6' 0""","175","R","R","2015 J2 (SFG)","Venezuela","","sa916849"
0,21,"Yefri Del Rosario","KCR","RHP","",,"40",2022,"High","19.3","6' 2""","180","R","R","2016 J2 (ATL)","Dominican Republic","","sa3002971"
0,21,"Andy Yerzy","ARI","C","AAA",,"40",2022,"High","20.5","6' 3""","215","L","R","2016 Draft Rnd 2 (ARI)","York Mills Institute (Ontario)","","sa917939"
0,21,"Gavin Cecchini","NYM","2B","",,"40",2018,"Low","25.0","6' 2""","196","R","R","2012 Draft Rnd 1 (NYM)","Barbe HS (LA)","","17005"
0,21,"WIlliam English","LAA","RHP","",,"40",2023,"High","18.0","6' 3""","185","R","R","2018 Draft Rnd 5 (LAA)","Detroit Western Int'l HS (MI)","","sa3007744"
0,21,"Dylan Cozens","PHI","LF","",,"40",2018,"High","24.6","6' 6""","235","L","L","2012 Draft Rnd 2 (PHI)","Chaparral HS (AZ)","5CGtPSHk7sY","15115"
0,21,"Leo Jiménez","TOR","SS","MLB",1,"40",2023,"High","17.6","5' 11""","170","R","R","2017 J2 (TOR)","Panama","","23782"
0,21,"Brett Martin","TEX","LHP","",,"40",2019,"Med","23.7","6' 4""","190","L","L","2014 Draft Rnd 4 (TEX)","Walters State JC (TN)","4ILlmvUzq_s","17369"
0,21,"Juan Yepez","STL","1B","",1,"40",2021,"Med","20.9","6' 1""","200","R","R","2014 J2 (ATL)","Venezuela","","18400"
0,21,"Nick Northcut","BOS","3B","",,"35+",2022,"Med","19.6","6' 1""","200","R","R","2018 Draft Rnd 2 (BOS)","Mason HS (OH)","HSB_vtldM_s","sa3007640"
0,21,"Michael Plassmeyer","SEA","LHP","AAA",,"35+",2020,"Med","22.2","6' 2""","200","L","L","2018 Draft Rnd 4 (SEA)","Missouri","","23191"
0,22,"Colin Poche","TBR","LHP","",1,"40+",2019,"Med","25.0","6' 3""","185","L","L","2016 Draft Rnd 14 (ARI)","Dallas Baptist","","19403"
0,22,"Pedro Avila","SDP","RHP","MLB",-1,"40+",2021,"Med","22.0","5' 11""","190","R","R","2014 J2 (WAS)","Venezuela","","18864"
0,22,"Kodi Medeiros","CHW","LHP","",,"40",2019,"High","22.6","6' 2""","180","L","L","2014 Draft Rnd 1 (MIL)","Waiakea HS (HI)","hGafdvhuFRw","sa828664"
0,22,"Robinson Ortiz","LAD","LHP","AAA",,"40",2023,"Med","19.0","6' 0""","180","L","L","2016 J2 (LAD)","Dominican Republic","LVLtXxDsi9A","sa3004006"
0,22,"Tyson Miller","CHC","RHP","MLB",1,"40",2020,"Med","23.4","6' 5""","200","R","R","2016 Draft Rnd 4 (CHC)","Cal Baptist","","19976"
0,22,"J.J. Matijevic","HOU","1B","AAA",,"40",2021,"Med","23.1","6' 0""","206","L","R","2017 Draft Rnd 2 (HOU)","Arizona","","20165"
0,22,"Jason Foley","DET","RHP","MLB",,"40",2021,"High","23.2","6' 4""","215","R","R","2016 Draft Rnd UDFA (DET)","Sacred Heart","","19531"
0,22,"Yonathan Daza","COL","CF","AAA",,"40",2019,"Low","24.8","6' 2""","190","R","R","2010 J2 (COL)","Venezuela","","15794"
0,22,"Hogan Harris","OAK","LHP",,,"40",2020,"High","22.0","6' 3""","230","R","L","2018 Draft Rnd 3 (OAK)","Louisiana","",
